name,size,percent_used,index_scans,seq_scans,unused
public.routes_pkey,32 kB,0%,0,0,t
public.gym_invites_token_key,16 kB,0%,0,0,t
public.gym_invites_pkey,16 kB,0%,0,0,t
public.master_codes_gym_id_idx,16 kB,100%,19,0,f
public.change_requests_pkey,16 kB,0%,0,0,t
public.finale_registrations_profile_id_key,16 kB,0%,0,0,t
public.results_pkey,16 kB,0%,0,0,t
public.gym_invites_email_idx,16 kB,0%,0,0,t
public.gym_codes_code_key,16 kB,0%,0,0,t
public.master_codes_redeemed_by_idx,16 kB,100%,2,0,f
public.master_codes_code_key,16 kB,0%,0,0,t
public.gym_invites_token_idx,16 kB,0%,0,0,t
public.finale_registrations_pkey,16 kB,0%,0,0,t
public.gym_codes_pkey,16 kB,0%,0,0,t
public.finale_registrations_profile_id_idx,16 kB,100%,2,0,f
public.results_profile_route_unique,16 kB,0%,0,0,t
public.gym_admins_profile_id_idx,16 kB,100%,5,0,f
public.profiles_pkey,16 kB,100%,3,0,f
public.master_codes_pkey,16 kB,0%,0,0,t
public.gym_admins_pkey,16 kB,0%,0,0,t
public.gym_admins_gym_id_idx,16 kB,100%,379,0,f
public.gym_codes_redeemed_by_idx,16 kB,100%,6,0,f
public.gyms_pkey,16 kB,100%,19,0,f
public.gym_codes_gym_id_idx,16 kB,100%,301,0,f
public.admin_settings_pkey,16 kB,0%,0,0,t
public.gym_codes_code_idx,16 kB,0%,0,0,t
public.master_codes_code_idx,16 kB,0%,0,0,t
public.contact_requests_pkey,16 kB,0%,0,0,t
public.profile_overrides_pkey,8192 bytes,0%,0,0,t
